,Year,Day,Month,Client_Region,Month_Profit,Sales_rev,Kwh,Room_household,Active_kwh_month,Room_household
0,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
1,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
2,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
3,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
4,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
5,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
6,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
7,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
8,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
9,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
10,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
11,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
12,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
13,2019,1,Jan,Groningen,4000,5000,3.51,5,105.3,5
14,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
15,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
16,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
17,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
18,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
19,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
20,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
21,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
22,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
23,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
24,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
25,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
26,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
27,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
28,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
29,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
30,2019,1,Jan,Groningen,4000,5000,3.12,4,93.6,4
31,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
32,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
33,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
34,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
35,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
36,2019,2,Jan,Groningen,2000,7000,3.51,5,105.3,5
